('Total Revenue', '270,010,000 ', '245,122,000 ', '211,915,000 ', '198,270,000 ', '168,088,000 ')
         847923 function calls (823694 primitive calls) in 8.175 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       52    0.000    0.000    0.000    0.000 functools.py:518(decorating_function)
      194    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:185(_path_abspath)
        4    0.000    0.000    0.000    0.000 {method 'readlines' of '_io._IOBase' objects}
       20    0.000    0.000    0.009    0.000 <frozen importlib._bootstrap_external>:1685(path_hook_for_FileFinder)
       79    0.000    0.000    0.000    0.000 css_types.py:267(__init__)
      402    0.000    0.000    0.000    0.000 typing.py:1252(__eq__)
        7    0.000    0.000    0.002    0.000 typing.py:2761(_make_nmtuple)
        1    0.000    0.000    0.000    0.000 feedparser.py:469(_parse_headers)
  142/137    0.000    0.000    0.001    0.000 css_parser.py:385(_freeze_relations)
        1    0.000    0.000    0.000    0.000 __init__.py:108(lookup)
        3    0.000    0.000    0.041    0.014 response.py:1(<module>)
       43    0.000    0.000    1.324    0.031 models.py:816(generate)
      104    0.000    0.000    0.000    0.000 typing.py:2310(get_origin)
       24    0.000    0.000    0.000    0.000 util.py:16(lower)
        1    0.000    0.000    0.012    0.012 url.py:1(<module>)
        1    0.000    0.000    0.232    0.232 connection.py:669(connect)
       64    0.000    0.000    0.001    0.000 typing.py:885(__init__)
        2    0.000    0.000    0.012    0.006 models.py:1(<module>)
       34    0.000    0.000    0.000    0.000 ipaddress.py:2238(__init__)
       68    0.000    0.000    0.000    0.000 element.py:2877(__init__)
       55    0.000    0.000    0.000    0.000 parser.py:123(set_cdata_mode)
        1    0.000    0.000    0.000    0.000 ipaddress.py:2314(_IPv6Constants)
        1    0.000    0.000    0.000    0.000 quoprimime.py:1(<module>)
      176    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
       19    0.000    0.000    0.000    0.000 typing.py:1096(_generic_init_subclass)
        1    0.000    0.000    0.294    0.294 element.py:1(<module>)
    71/51    0.000    0.000    0.000    0.000 typing.py:1573(__hash__)
